IP,frequency,active
129.42.38.0/24,6,"['129.42.38.1', '129.42.38.10']"
129.34.8.0/24,5,['129.34.8.145']
104.16.225.0/24,4,['104.16.225.231']
104.22.45.0/24,4,['104.22.45.174']
104.22.44.0/24,4,['104.22.44.174']
104.16.224.0/24,4,['104.16.224.231']
207.25.251.0/24,4,"['207.25.251.133', '207.25.251.166', '207.25.251.167', '207.25.251.168']"
169.44.146.0/24,2,"['169.44.146.79', '169.44.146.80']"
203.176.107.0/24,2,"['203.176.107.148', '203.176.107.149']"
169.45.159.0/24,2,"['169.45.159.66', '169.45.159.67']"
158.85.24.0/24,2,['158.85.24.20']
129.42.175.0/24,2,['129.42.175.106']
75.126.81.0/24,1,['75.126.81.66']
169.46.120.0/24,1,['169.46.120.190']
129.34.32.0/24,1,['129.34.32.39']
170.225.31.0/24,1,['170.225.31.228']
169.48.246.0/24,1,['169.48.246.222']
129.35.233.0/24,1,['129.35.233.109']
52.116.220.0/24,1,['52.116.220.135']
129.33.199.0/24,1,['129.33.199.236']
32.97.17.0/24,1,['32.97.17.169']
169.55.231.0/24,1,['169.55.231.196']
169.61.8.0/24,1,['169.61.8.198']
169.60.70.0/24,1,['169.60.70.162']
23.78.178.0/24,1,['23.78.178.23']
169.60.115.0/24,1,['169.60.115.10']
